transaccion_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,subtotal,descuento_pct,descuento_monto,costo_envio,total,metodo_pago,estado_envio
T000001,C00001,P0177,2025-11-04,1,26110.99,26110.99,10,2611.1,2404.05,25903.94,Transferencia bancaria,Entregado
T000002,C00001,P0144,2025-04-17,1,136210.99,136210.99,10,13621.1,0.0,122589.89,Tarjeta de débito,Entregado
T000003,C00001,P0086,2024-05-08,1,17970.99,17970.99,0,0.0,2672.98,20643.97,Efectivo (contra entrega),En camino
T000004,C00001,P0064,2026-07-23,1,71270.99,71270.99,5,3563.55,0.0,67707.44,Mercado Pago,Entregado
T000005,C00001,P0147,2026-05-05,3,92490.99,277472.97,0,0.0,0.0,277472.97,Tarjeta de débito,Preparando
T000006,C00001,P0184,2024-09-12,1,11240.99,11240.99,0,0.0,3289.96,14530.95,Tarjeta de crédito,Entregado
T000007,C00002,P0037,2025-10-01,1,4430.99,4430.99,5,221.55,3677.81,7887.25,Efectivo (contra entrega),Entregado
T000008,C00002,P0005,2023-01-13,1,15670.99,15670.99,0,0.0,3350.65,19021.64,Tarjeta de crédito,Entregado
T000009,C00002,P0163,2024-04-10,1,64460.99,64460.99,10,6446.1,0.0,58014.89,Efectivo (contra entrega),En camino
T000010,C00002,P0013,2024-09-17,1,33690.99,33690.99,0,0.0,0.0,33690.99,Tarjeta de crédito,Entregado
T000011,C00003,P0039,2023-01-02,1,44450.99,44450.99,5,2222.55,0.0,42228.44,Mercado Pago,Entregado
T000012,C00004,P0090,2026-02-27,1,83690.99,83690.99,5,4184.55,0.0,79506.44,Efectivo (contra entrega),Entregado
T000013,C00004,P0103,2024-09-16,1,23150.99,23150.99,0,0.0,2957.58,26108.57,Mercado Pago,Entregado
T000014,C00004,P0108,2023-03-01,1,106640.99,106640.99,0,0.0,0.0,106640.99,Mercado Pago,Entregado
T000015,C00004,P0089,2023-01-23,3,70110.99,210332.97,0,0.0,0.0,210332.97,Tarjeta de débito,Entregado
T000016,C00005,P0143,2026-02-17,1,78310.99,78310.99,0,0.0,0.0,78310.99,Mercado Pago,Entregado
T000017,C00005,P0046,2025-07-17,2,18770.99,37541.98,0,0.0,0.0,37541.98,Mercado Pago,Entregado
T000018,C00005,P0180,2025-06-12,1,10110.99,10110.99,0,0.0,3436.65,13547.64,Mercado Pago,Entregado
T000019,C00005,P0003,2025-11-11,2,95520.99,191041.98,0,0.0,0.0,191041.98,Mercado Pago,Entregado
T000020,C00005,P0007,2026-03-31,2,16940.99,33881.98,5,1694.1,0.0,32187.88,Tarjeta de crédito,Entregado
T000021,C00005,P0077,2026-04-11,2,80070.99,160141.98,5,8007.1,0.0,152134.88,Efectivo (contra entrega),En camino
T000022,C00005,P0079,2025-04-02,1,9850.99,9850.99,0,0.0,4218.91,14069.9,Efectivo (contra entrega),Entregado
T000023,C00005,P0164,2026-04-27,2,32940.99,65881.98,0,0.0,0.0,65881.98,Tarjeta de débito,Entregado
T000024,C00005,P0174,2025-08-10,1,50040.99,50040.99,0,0.0,0.0,50040.99,Mercado Pago,Entregado
T000025,C00005,P0059,2025-11-04,1,66790.99,66790.99,0,0.0,0.0,66790.99,Mercado Pago,Entregado
T000026,C00005,P0038,2025-08-19,1,69100.99,69100.99,5,3455.05,0.0,65645.94,Efectivo (contra entrega),En camino
T000027,C00005,P0173,2025-12-05,1,7980.99,7980.99,10,798.1,1921.11,9104.0,Efectivo (contra entrega),Entregado
T000028,C00006,P0084,2026-02-24,1,106390.99,106390.99,20,21278.2,0.0,85112.79,Transferencia bancaria,Entregado
T000029,C00006,P0186,2025-08-01,3,100370.99,301112.97,0,0.0,0.0,301112.97,Tarjeta de débito,Entregado
